Product Name,Prices,Description,Reviews,Images
"POCO X6 Neo 5G (Astral Black, 128 GB)","₹13,910",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/7/r/-original-imah4ncffjfgg467.jpeg?q=70
"Infinix Hot 50 5G (Sage Green, 128 GB)","₹10,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display48MP + Depth Sensor | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/s/d/hot-50-5g-x6720-infinix-original-imah4dybfdernmyz.jpeg?q=70
"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹14,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/u/c/-original-imah3afneszgnrt6.jpeg?q=70
"IQOO Z9x (Storm Grey, 128 GB)","₹11,995","4 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera6000 mAh BatteryOcta core (2.2 GHz, Quad core, Cortex A78 + 1.8 GHz, Quad core, Cortex A55) Processor1 Year Manufacturer Warranty",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/v/h/z9x-i2219-iqoo-original-imah3gnerz9yggjt.jpeg?q=70
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹10,749",4 GB RAM | 128 GB ROM16.91 cm (6.657 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/a/j/-original-imahcqcwhvvxsrgd.jpeg?q=70
"Motorola g64 5G (Ice Lilac, 128 GB)","₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/l/s/g64-5g-pb2e0003in-motorola-original-imagzzd3qda9rfzt.jpeg?q=70
"POCO M6 Plus 5G (Graphite Black, 128 GB)","₹14,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/w/k/-original-imah3afnzmgfjnrf.jpeg?q=70
"POCO M7 5G (Satin Black, 128 GB)","₹10,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/3/-original-imah9wydpxgkjtgw.jpeg?q=70
"realme P3x 5G (Midnight Blue, 128 GB)","₹13,999",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/n/1/-original-imah9gtmya9qhqse.jpeg?q=70
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",6 GB RAM | 128 GB ROM16.91 cm (6.657 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/6/n/-original-imahcqcwz7msj6rj.jpeg?q=70
